Origin,Dest,count
SFO,LAX,5167
LAX,SFO,5087
LAX,LAS,4480
LAS,LAX,4301
LAX,PHX,3912
PHX,LAX,3720
LGA,ORD,3663
ORD,LGA,3546
ORD,MSP,3418
MSP,ORD,3387
HOU,DAL,3299
PHX,LAS,3265
LAS,PHX,3191
DAL,HOU,3033
LAX,ORD,2929
LAX,JFK,2917
ATL,DFW,2901
EWR,ORD,2895
DFW,ATL,2882
BOS,LGA,2873
ORD,LAX,2866
JFK,LAX,2865
ORD,DFW,2859
LGA,BOS,2828
ORD,EWR,2801
DFW,ORD,2767
ORD,ATL,2703
ORD,DCA,2646
BOS,DCA,2636
ATL,ORD,2634
OAK,LAX,2634
DCA,ORD,2621
ATL,LGA,2609
SAN,LAX,2608
DCA,BOS,2596
LAX,SEA,2567
LGA,ATL,2563
BOS,ORD,2559
ORD,BOS,2554
SAN,PHX,2550
LAX,SAN,2525
PHX,SAN,2516
LAX,OAK,2495
SEA,LAX,2483
SFO,SEA,2472
LGA,DCA,2462
DCA,LGA,2458
SEA,SFO,2445
PHL,ORD,2422
DFW,IAH,2414
ATL,MCO,2411
DEN,DFW,2406
LAX,SJC,2394
IAH,DFW,2390
SJC,LAX,2374
DFW,DEN,2369
MCO,ATL,2339
ORD,PHL,2327
DTW,ORD,2316
DFW,LAX,2287
ORD,SFO,2255
DEN,PHX,2250
ORD,DTW,2234
LAX,DEN,2231
DEN,LAX,2218
PHX,DEN,2215
PHL,ATL,2199
SFO,SAN,2195
SEA,ANC,2187
ATL,EWR,2187
BOS,PHL,2175
DEN,ORD,2174
ANC,SEA,2170
HNL,OGG,2166
LAX,DFW,2147
SFO,LAS,2124
SAN,SFO,2116
DEN,SLC,2105
OGG,HNL,2091
EWR,ATL,2089
ORD,DEN,2075
SFO,ORD,2073
SLC,DEN,2072
PHL,BOS,2068
MIA,ATL,2044
ATL,TPA,2040
ATL,MIA,2031
TPA,ATL,2025
PHX,ONT,2020
LAS,SFO,2007
ONT,PHX,2003
JFK,SFO,2001
EWR,BOS,2001
SAT,DFW,2000
DCA,ATL,1986
ATL,DCA,1969
AUS,DFW,1966
ATL,PHL,1959
ATL,CLT,1958
ATL,FLL,1953
BOS,EWR,1948
SFO,JFK,1941
DFW,SAT,1933
DFW,AUS,1933
CLT,ATL,1930
FLL,ATL,1907
ABQ,PHX,1875
DEN,LAS,1873
DFW,PHX,1873
DFW,LGA,1865
LAS,DEN,1854
